name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Aquila_Rift 21.8 9.2 0.7291 0.7346 0.7398 0.6993 0.7048 0.7098 7.1292 7.2204 7.3093 266 278 289 0.0323 0.0404 0.0505 0.0695 0.0798 0.0891 0.0838 0.0878 0.092 1 254 101 44
Aquila_Rift 16.7 11.1 0.6629 0.67 0.6782 0.6053 0.612 0.6195 6.5557 6.5906 6.6624 204 208 215 0.0274 0.036 0.0458 0.0925 0.102 0.114 0.0591 0.0645 0.069 1 195 58 40
Aquila_Rift 18.3 12.7 0.697 0.7055 0.7135 0.6931 0.7017 0.7098 6.984 7.0242 7.0611 249 254 258 0.0227 0.0298 0.0386 0.0927 0.1012 0.1108 0.0795 0.084 0.0885 1 235 77 55
Aquila_Rift 21.5 11.9 0.7225 0.7307 0.7388 0.446 0.4512 0.4563 7.2172 7.2381 7.2628 277 280 283 0.0385 0.0477 0.0581 0.0467 0.0511 0.0555 0.0676 0.0709 0.0747 1 254 100 57
Aquila_Rift 16.0 16.6 0.7488 0.7548 0.7607 0.5254 0.5298 0.5341 5.9967 6.0697 6.1094 158 163 166 0.027 0.0332 0.0413 0.0911 0.1061 0.1217 0.0473 0.0499 0.0525 1 150 43 46
Aquila_S 38.9 -19.1 0.8635 0.8715 0.8798 0.0741 0.0897 0.091 5.409 5.4624 5.5117 120 123 126 0.0161 0.0198 0.0242 0.0326 0.0418 0.0554 0.0168 0.0178 0.0189 0 90 72 -40
Aquila_S 39.3 -16.8 0.7765 0.7811 0.7856 0.1363 0.138 0.1392 5.5002 5.5435 5.594 125 128 131 0.0157 0.0192 0.0241 0.0484 0.057 0.0673 0.0179 0.0191 0.0203 0 94 77 -36
Aquila_S 37.8 -17.5 0.8514 0.8572 0.8628 0.1181 0.1199 0.121 5.6399 5.6634 5.6871 134 135 137 0.0143 0.0179 0.0221 0.0573 0.0673 0.0792 0.0196 0.0208 0.0219 0 101 78 -40
Aquila_S 36.8 -15.1 0.7635 0.7685 0.7737 0.1041 0.1055 0.1065 5.7418 5.7891 5.8351 140 143 146 0.015 0.0185 0.0227 0.0358 0.0433 0.0527 0.0188 0.0198 0.0208 0 110 82 -37
Ara 336.7 -2.0 0.5102 0.5125 0.515 1.0488 1.1867 1.1942 10.1052 10.1353 10.161 1049 1064 1076 0.0641 0.0775 0.0933 0.0966 0.1053 0.1146 0.1272 0.1306 0.1343 1 976 -420 -37
Ara 336.4 -1.7 0.3997 0.4023 0.405 0.5889 0.6395 0.697 10.0696 10.0988 10.1288 1032 1046 1061 0.2342 0.258 0.2818 0.0334 0.0432 0.0546 0.1328 0.1371 0.1423 1 958 -418 -31
CB28 204.0 -25.3 0.5971 0.618 0.6392 0.122 0.1273 0.132 7.8379 8.0025 8.1711 369 398 430 0.0331 0.0408 0.0497 0.0226 0.0283 0.0357 0.0423 0.045 0.0479 1 -328 -146 -170
CB29 205.8 -21.6 0.6808 0.6909 0.7008 0.178 0.1811 0.1838 7.8084 7.8691 7.927 364 374 384 0.0216 0.0261 0.0313 0.0321 0.0386 0.0461 0.0324 0.0341 0.0359 1 -313 -151 -137
CB34 187.0 -3.9 0.5647 0.5686 0.5725 0.4139 0.4168 0.4197 10.5751 10.6074 10.6275 1303 1322 1335 0.0316 0.0377 0.0441 0.0393 0.0425 0.0457 0.0565 0.0586 0.0608 1 -1309 -160 -89
CMa_OB1 225.4 0.3 0.482 0.4836 0.4854 0.1572 0.1581 0.1591 10.51 10.5158 10.5178 1264 1268 1269 0.0119 0.0138 0.016 0.0292 0.0312 0.0331 0.0637 0.0647 0.0657 0 -890 -902 6
