Observing Strategy,zcomp,nsn,deltaN,deltaz
baseline_retrofoot_v2.0_10yrs,0.2806,87241.8597,-0.0454,0.0026
baseline_v2.0_10yrs,0.278,91395.0009,0.0,0.0
bluer_indx0_v2.0_10yrs,0.2708,85201.2105,-0.0678,-0.0072
bluer_indx1_v2.0_10yrs,0.2721,84877.2988,-0.0713,-0.0058
carina_v2.0_10yrs,0.2748,98590.3614,0.0787,-0.0032
ddf_frac_ddf_per0.6_v2.0_10yrs,0.2782,94211.8786,0.0308,0.0003
ddf_frac_ddf_per1.6_v2.0_10yrs,0.2721,83956.0955,-0.0814,-0.0059
local_gal_bindx0_v2.0_10yrs,0.2765,90370.9346,-0.0112,-0.0014
local_gal_bindx1_v2.0_10yrs,0.2758,89582.6965,-0.0198,-0.0021
local_gal_bindx2_v2.0_10yrs,0.2739,88743.8726,-0.029,-0.004
long_gaps_nightsoff0_delayed-1_v2.0_10yrs,0.2648,54954.6998,-0.3987,-0.0132
long_gaps_nightsoff0_delayed1827_v2.0_10yrs,0.2718,75762.8168,-0.171,-0.0062
long_gaps_nightsoff1_delayed-1_v2.0_10yrs,0.2688,75042.5288,-0.1789,-0.0091
long_gaps_nightsoff1_delayed1827_v2.0_10yrs,0.2728,83660.288,-0.0846,-0.0052
long_gaps_nightsoff2_delayed-1_v2.0_10yrs,0.2703,80670.9507,-0.1173,-0.0077
long_gaps_np_nightsoff2_delayed1827_v2.0_10yrs,0.2733,84993.1305,-0.07,-0.0047
long_gaps_np_nightsoff3_delayed-1_v2.0_10yrs,0.2725,81995.0353,-0.1028,-0.0054
long_gaps_np_nightsoff3_delayed1827_v2.0_10yrs,0.275,86677.8703,-0.0516,-0.0029
long_gaps_np_nightsoff4_delayed-1_v2.0_10yrs,0.2738,83416.9234,-0.0873,-0.0042
long_gaps_np_nightsoff4_delayed1827_v2.0_10yrs,0.2768,88286.39,-0.034,-0.0012
long_gaps_np_nightsoff5_delayed-1_v2.0_10yrs,0.2742,85386.296,-0.0657,-0.0038
long_gaps_np_nightsoff5_delayed1827_v2.0_10yrs,0.2753,88094.9722,-0.0361,-0.0027
long_gaps_np_nightsoff6_delayed-1_v2.0_10yrs,0.2739,85162.0904,-0.0682,-0.0041
long_gaps_np_nightsoff6_delayed1827_v2.0_10yrs,0.2766,88519.9197,-0.0315,-0.0014
long_gaps_np_nightsoff7_delayed-1_v2.0_10yrs,0.2753,86679.2284,-0.0516,-0.0026
long_gaps_np_nightsoff7_delayed1827_v2.0_10yrs,0.2762,88969.8278,-0.0265,-0.0018
long_u1_v2.0_10yrs,0.275,84375.8303,-0.0768,-0.0029
long_u2_v2.0_10yrs,0.278,89926.0642,-0.0161,0.0
mario_baseline_v2.0_10yrs,0.2655,85785.0558,-0.0614,-0.0124
noroll_v2.0_10yrs,0.2631,87941.3909,-0.0378,-0.0149
vary_gp_gpfrac1.00_v2.0_10yrs,0.2659,73830.668,-0.1922,-0.0121
vary_nes_nesfrac0.01_v2.0_10yrs,0.2804,96136.5872,0.0519,0.0025
vary_nes_nesfrac0.05_v2.0_10yrs,0.2797,95296.4118,0.0427,0.0018
vary_nes_nesfrac0.10_v2.0_10yrs,0.2788,95125.9104,0.0408,0.0008
vary_nes_nesfrac0.15_v2.0_10yrs,0.2784,93134.7548,0.019,0.0005
vary_nes_nesfrac0.20_v2.0_10yrs,0.2779,92507.379,0.0122,-0.0001
vary_nes_nesfrac0.25_v2.0_10yrs,0.2771,91151.3038,-0.0027,-0.0008
vary_nes_nesfrac0.30_v2.0_10yrs,0.278,91395.0009,0.0,0.0
vary_nes_nesfrac0.35_v2.0_10yrs,0.2746,88475.0334,-0.0319,-0.0034
vary_nes_nesfrac0.40_v2.0_10yrs,0.2746,87190.2293,-0.046,-0.0034
vary_nes_nesfrac0.45_v2.0_10yrs,0.2736,86299.4775,-0.0558,-0.0044
vary_nes_nesfrac0.50_v2.0_10yrs,0.2726,85800.4001,-0.0612,-0.0054
vary_nes_nesfrac0.55_v2.0_10yrs,0.2703,84610.9812,-0.0742,-0.0076
vary_nes_nesfrac0.75_v2.0_10yrs,0.2675,81397.0074,-0.1094,-0.0104
vary_nes_nesfrac1.00_v2.0_10yrs,0.2648,79310.4341,-0.1322,-0.0131
virgo_cluster_v2.0_10yrs,0.2768,90875.0611,-0.0057,-0.0012
presto_half_gap2.0_v2.0_10yrs,0.2626,61693.9918,-0.325,-0.0153
presto_half_gap2.5_mix_v2.0_10yrs,0.2668,66299.9085,-0.2746,-0.0112
presto_half_gap2.5_v2.0_10yrs,0.2657,62639.9137,-0.3146,-0.0122
presto_half_gap3.0_mix_v2.0_10yrs,0.2685,67193.1314,-0.2648,-0.0095
presto_half_gap3.0_v2.0_10yrs,0.266,64650.9359,-0.2926,-0.012
presto_half_gap3.5_mix_v2.0_10yrs,0.2703,68891.496,-0.2462,-0.0077
presto_half_gap3.5_v2.0_10yrs,0.2677,64839.59,-0.2906,-0.0103
presto_half_gap4.0_mix_v2.0_10yrs,0.2695,70822.7325,-0.2251,-0.0084
presto_half_gap4.0_v2.0_10yrs,0.2678,67247.1318,-0.2642,-0.0102
retro_baseline_v2.0_10yrs,0.2772,85649.1963,-0.0629,-0.0007
roll_early_v2.0_10yrs,0.2879,92643.0295,0.0137,0.0099
rolling_all_sky_ns2_rw0.9_v2.0_10yrs,0.2775,90825.0577,-0.0062,-0.0004
rolling_bulge_6_v2.0_10yrs,0.2774,89558.9478,-0.0201,-0.0005
rolling_bulge_ns2_rw0.5_v2.0_10yrs,0.2691,86604.2464,-0.0524,-0.0089
rolling_bulge_ns2_rw0.8_v2.0_10yrs,0.2762,89911.4356,-0.0162,-0.0018
rolling_bulge_ns2_rw0.9_v2.0_10yrs,0.2768,90490.6428,-0.0099,-0.0011
long_gaps_nightsoff2_delayed1827_v2.0_10yrs,0.274,86013.3688,-0.0589,-0.0039
long_gaps_nightsoff3_delayed-1_v2.0_10yrs,0.2732,84136.9662,-0.0794,-0.0048
long_gaps_nightsoff3_delayed1827_v2.0_10yrs,0.2747,87961.2548,-0.0376,-0.0032
long_gaps_nightsoff4_delayed-1_v2.0_10yrs,0.273,84633.0403,-0.074,-0.005
long_gaps_nightsoff4_delayed1827_v2.0_10yrs,0.2765,88479.4343,-0.0319,-0.0015
long_gaps_nightsoff5_delayed-1_v2.0_10yrs,0.2736,85628.9651,-0.0631,-0.0043
long_gaps_nightsoff5_delayed1827_v2.0_10yrs,0.2756,88591.7182,-0.0307,-0.0023
long_gaps_nightsoff6_delayed-1_v2.0_10yrs,0.275,86842.7884,-0.0498,-0.0029
long_gaps_nightsoff6_delayed1827_v2.0_10yrs,0.276,89086.8248,-0.0253,-0.0019
long_gaps_nightsoff7_delayed-1_v2.0_10yrs,0.2739,86290.1471,-0.0559,-0.0041
long_gaps_nightsoff7_delayed1827_v2.0_10yrs,0.2757,89379.1461,-0.0221,-0.0023
long_gaps_np_nightsoff0_delayed-1_v2.0_10yrs,0.259,47038.825,-0.4853,-0.019
long_gaps_np_nightsoff0_delayed1827_v2.0_10yrs,0.2681,71652.6391,-0.216,-0.0099
long_gaps_np_nightsoff1_delayed-1_v2.0_10yrs,0.2652,71055.2331,-0.2225,-0.0128
long_gaps_np_nightsoff1_delayed1827_v2.0_10yrs,0.2707,81845.531,-0.1045,-0.0072
long_gaps_np_nightsoff2_delayed-1_v2.0_10yrs,0.2708,78006.7018,-0.1465,-0.0072
roman_v2.0_10yrs,0.2778,90611.8837,-0.0086,-0.0001
short_exp_v2.0_10yrs,0.2734,87497.7246,-0.0426,-0.0045
six_rolling_ns6_rw0.5_v2.0_10yrs,0.266,76924.6172,-0.1583,-0.012
six_rolling_ns6_rw0.9_v2.0_10yrs,0.2695,80885.9222,-0.115,-0.0084
smc_movie_v2.0_10yrs,0.277,90099.7425,-0.0142,-0.0009
too_rate10_v2.0_10yrs,0.2764,89465.4685,-0.0211,-0.0015
too_rate50_v2.0_10yrs,0.2766,87896.3489,-0.0383,-0.0013
twilight_neo_nightpattern1v2.0_10yrs,0.2682,74991.8605,-0.1795,-0.0097
twilight_neo_nightpattern2v2.0_10yrs,0.2731,82625.7771,-0.0959,-0.0048
twilight_neo_nightpattern3v2.0_10yrs,0.275,85608.5956,-0.0633,-0.003
twilight_neo_nightpattern4v2.0_10yrs,0.275,87188.0745,-0.046,-0.003
twilight_neo_nightpattern5v2.0_10yrs,0.2722,83065.6417,-0.0911,-0.0057
twilight_neo_nightpattern6v2.0_10yrs,0.274,84057.8912,-0.0803,-0.0039
twilight_neo_nightpattern7v2.0_10yrs,0.2742,85366.1647,-0.066,-0.0037
vary_expt_v2.0_10yrs,0.2757,73050.0311,-0.2007,-0.0022
vary_gp_gpfrac0.01_v2.0_10yrs,0.2783,94836.2673,0.0377,0.0003
vary_gp_gpfrac0.05_v2.0_10yrs,0.2782,94159.3605,0.0302,0.0002
vary_gp_gpfrac0.10_v2.0_10yrs,0.2783,93744.5075,0.0257,0.0003
vary_gp_gpfrac0.15_v2.0_10yrs,0.2776,92701.3875,0.0143,-0.0004
